"id","tool","type","subject","example","explanation","is_deleted","edit_by","created_at","updated_at"
"1","من","اسم","العاقل","مَنْ وَضَعَ الخُطَّة ؟","وقعت : مبتدأ","0","11","2025-04-16 15:41:47","2025-05-22 13:59:15"
"2","من ذا","اسم","العاقل","مَنْ ذَا اَلَّذِي أَمرَكَ ؟","وقعت : مبتدأ","0","11","2025-04-16 15:41:47","2025-05-22 14:00:30"
"3","ما","اسم","غير العاقل/حقيقة الشيء","مَا اَلمُشْكِلَة؟","وقعت : مبتدأ","0","11","2025-04-16 15:41:47","2025-05-22 14:01:44"
"4","ماذا","اسم","غير العاقل/حقيقة","مَاذَا تَعَلَّمْتَ؟","وقعت مفعول به","0","11","2025-04-16 15:41:47","2025-05-22 14:02:28"
"5","متى","اسم","الزمان (ماضٍ ومستقبل)","مَتَى اِنْتَهَتْ اَلحِصَّة؟","وقعت : ظرف زمان","0","11","2025-04-16 15:41:47","2025-05-22 14:03:00"
"6","أيّان","اسم","الزمان (مستقبل غالبًا)","أََيََّانَ تَسْمَعُ اَلمُؤَذِّنَ؟","وقعت : ظرف زمان","0","11","2025-04-16 15:41:47","2025-05-22 14:26:44"
"7","من","اسم","المكان","أيْنَ يُعْقَدُ الاِجْتِمَاعَ ؟","وقعت : ظرف مكان","0","6","2025-04-16 15:41:47","2025-07-16 16:09:07"
"8","أنَّى","اسم","المكان/الزمان/الحال","أَنََّى لَكِ هَذَا؟","موقعها الإعرابي حسب المعنى","0","11","2025-04-16 15:41:47","2025-05-22 14:27:08"
"9","كم","اسم","العدد","كَمْ مُوَظَّفًا فِي الشَّرِكَةِ ؟","وقعت : مبتدأ","0","11","2025-04-16 15:41:47","2025-05-22 14:27:21"
"10","كيف","اسم","الحال","كَيْفَ أَصْبَحْتَ ؟","وقعت : خبر","0","11","2025-04-16 15:41:47","2025-05-22 14:26:12"
"11","أيّ","اسم","بحسب ما تضاف إليه","أَيّ مُوَظََّفٍ أَعْجَبَكَ؟","موقعها الإعرابي حسب السياق","0","11","2025-04-16 15:41:47","2025-05-22 14:28:02"
"12","هل","حرف","طلب مضمون الجملة المثبتة","هل حضرت أمس؟","الجواب: نعم/لا","1","6","2025-04-16 15:41:47","2025-07-29 11:20:40"
"13","الهمزة","حرف","طلب مضمون","أتناولت غداءك؟","الهمزة قد تحمل دلالات غير مباشرة (الإنكار، التوبيخ، التعجب، التقرير...) حسب السياق.","1","5","2025-04-16 15:41:47","2025-04-20 14:10:23"
"14","الهمزة","حرف","إنكاري إبطالي","﴿أتعبدون ما تنحتون﴾","إنكاري إبطالي ، ما بعد الأداة غير واقع والمُدّعي كاذب","1","5","2025-04-16 15:41:47","2025-04-20 14:10:32"
"15","الهمزة","حرف","إنكاري توبيخي","﴿أفأصفاكم ربكم بالبنين﴾","إنكاري توبيخي ،ما بعد الأداة واقع وصاحبه ملوم","1","5","2025-04-16 15:41:47","2025-04-20 14:10:51"
"16","الهمزة","حرف","تخرج لمعنى التسوية","إِنَّ الَّذِينَ كَفَرُوا سَوَاءٌ عَلَيْهِمْ أَأَنذَرْتَهُمْ أَمْ لَمْ تُنذِرْهُمْ (البقرة: 6)","تأتي بعد ""سواءٌ"" وتفيد التساوي بين حالتين","1","5","2025-04-16 15:41:47","2025-04-20 14:11:02"
"17","الهمزة","حرف","تخرج لمعنى التقرير","أَأَنْتَ قُلْتَ لِلنَّاسِ اتَّخِذُونِي وَأُمِّيَ إِلَهَيْنِ؟ (المائدة:116)","توجيه سؤال لا يُراد به الجواب بل الإقرار","1","5","2025-04-16 15:41:47","2025-04-20 14:10:56"
