field,value,arabic
Morph_Type,Other_i3rab,أخرى/علامات إعراب
Morph_Type,Prefix,بادئة
Morph_Type,Stem,جِذع/أصل الكلمة
Morph_Type,Suffix,لاحقة
Case_Mood,ACCUSATIVE,منصوب
Case_Mood,GENITIVE,مجرور
Case_Mood,INVARIABLE,مبني/غير معرب
Case_Mood,JUSSIVE,مجزوم
Case_Mood,NOMINATIVE,مرفوع
Case_Mood_Marker,ALIF,ألف
Case_Mood_Marker,DEL_NUN,حذف النون
Case_Mood_Marker,DEL_VOWEL,حذف الحركة
Case_Mood_Marker,DHAMMA,ضمة
Case_Mood_Marker,FATHA,فتحة
Case_Mood_Marker,FATHA_DIPTOTE,فتحة (ممنوع من الصرف)
Case_Mood_Marker,IMP_DHAMMA,ضمة (علامة أمر)
Case_Mood_Marker,IMP_FATHA,فتحة (علامة أمر)
Case_Mood_Marker,IMP_KASRA,كسرة (علامة أمر)
Case_Mood_Marker,KASRA,كسرة
Case_Mood_Marker,NUN,نون
Case_Mood_Marker,SUKUN,سكون
Case_Mood_Marker,WAW,واو
Case_Mood_Marker,YAA,ياء
Syntactic_Role,ACC_SPECIF,تمييز/نصب اختصاص
Syntactic_Role,ACRON,اختصار
Syntactic_Role,ADJ,صفة
Syntactic_Role,ADV_PLCE,ظرف مكان
Syntactic_Role,ADV_TIME,ظرف زمان
Syntactic_Role,AGNT,فاعل/عامل
Syntactic_Role,ANNUL_PART,حرف ناسخ
Syntactic_Role,APPOS,بدل/عطف بيان
Syntactic_Role,CERT_PART,أداة توكيد/تحقيق
Syntactic_Role,CIRCUM,حال/متعلَّق ظرفي
Syntactic_Role,COGN,مفعول مطلق
Syntactic_Role,COMIT,مفعول معه
Syntactic_Role,COMPL,متمّم/تكملة
Syntactic_Role,CONJ,عطف
Syntactic_Role,CONJ_N,اسم معطوف
Syntactic_Role,CV,فعل أمر
Syntactic_Role,CV_COP,فعل أمر رابط
Syntactic_Role,EXCP,مستثنى
Syntactic_Role,EXPLET,حشو/زائد (لا محل له)
Syntactic_Role,GEN_CONS,مضاف إليه
Syntactic_Role,INTENCIF,مؤكِّد/مكثِّف
Syntactic_Role,INTERJ_CV,اعتراضي (أمر)
Syntactic_Role,INTERJ_IV,اعتراضي (مضارع)
Syntactic_Role,INTERJ_PV,اعتراضي (ماضٍ)
Syntactic_Role,IV,فعل مضارع
Syntactic_Role,IV_COP,فعل مضارع رابط
Syntactic_Role,IV_PASS,فعل مضارع مبني للمجهول
Syntactic_Role,NEG,نفي
Syntactic_Role,NEG_CAT,نفي (كان/ناسخ)
Syntactic_Role,NEG_MAA,نفي بـ(ما)
Syntactic_Role,NEG_PROH,نهي
Syntactic_Role,NON_INFLECT,غير معرب
Syntactic_Role,NOUN_CONS,اسم مضاف/مركب إضافي
Syntactic_Role,NUM_COMP,مركّب عددي
Syntactic_Role,OBJ,مفعول به
Syntactic_Role,PART_CONDITION,أداة شرط
Syntactic_Role,PART_COP_PRED,أداة ربط خبرية
Syntactic_Role,PART_EXCEPT,أداة استثناء
Syntactic_Role,PART_INHIB,أداة نهي/منع
Syntactic_Role,PART_INTERROG,أداة استفهام
Syntactic_Role,PART_JUSSIVE,أداة جزم
Syntactic_Role,PART_PREV,أداة استقبال
Syntactic_Role,PASS_SUBJ,نائب فاعل
Syntactic_Role,PRED,خبر/مسند
Syntactic_Role,PREP,حرف جر
Syntactic_Role,PREP_OBJ,اسم مجرور
Syntactic_Role,PURP,تعليل/غاية
Syntactic_Role,SUBJ,فاعل
Syntactic_Role,SUBJUNC_PART,أداة نصب
Syntactic_Role,SUBJ_COP_PART,أداة ربط (مبتدأ/خبر)
Syntactic_Role,SUBJ_COP_V,فعل رابط (مبتدأ/خبر)
Syntactic_Role,SUBJ_DELA,فاعل/مبتدأ مؤخر
Syntactic_Role,SUBJ_NEG_CAT,مبتدأ مع نفي ناسخ
Syntactic_Role,SUBOR_ANN_CONJ,حرف ربط ناسخ/تابع
Syntactic_Role,SUBOR_CONJ,حرف ربط/تابع
Syntactic_Role,SUBS_COG_ACC,نائب مفعول مطلق
Syntactic_Role,VOC,منادى
Syntactic_Role,VOC_PART,أداة نداء
Syntactic_Role,V_COP_PRED,فعل رابط خبري
Morph_Tag,ABBREV,اختصار
Morph_Tag,ADJ_COMP,صفة مقارنة/تفضيل
Morph_Tag,ADJ_INTENS,صفة مبالغة/شدة
Morph_Tag,ADJ_QUALIT,صفة نوعية
Morph_Tag,ADV,ظرف
Morph_Tag,ANNUL_PART,حرف ناسخ
Morph_Tag,CASE_DEF_ACC,علامة نصب (معرّف)
Morph_Tag,CASE_DEF_GEN,علامة جر (معرّف)
Morph_Tag,CASE_DEF_NOM,علامة رفع (معرّف)
Morph_Tag,CASE_INDEF_(ACC_GEN),علامة نصب/جر (نكرة)
Morph_Tag,CASE_INDEF_ACC,علامة نصب (نكرة)
Morph_Tag,CASE_INDEF_GEN,علامة جر (نكرة)
Morph_Tag,CASE_INDEF_NOM,علامة رفع (نكرة)
Morph_Tag,CERT_PART,أداة توكيد/تحقيق
Morph_Tag,CONDITION_PART,أداة شرط
Morph_Tag,CONJ,حرف عطف
Morph_Tag,CURRENCY,عملة
Morph_Tag,CV,فعل أمر
Morph_Tag,CVSUFF_SUBJ:2MP,لاحقة أمر: ضمير فاعل (مخاطب مذكر جمع)
Morph_Tag,CVSUFF_SUBJ:2MS,لاحقة أمر: ضمير فاعل (مخاطب مذكر مفرد)
Morph_Tag,CV_PREF,بادئة أمر
Morph_Tag,DEM_PRON,اسم إشارة
Morph_Tag,DEM_PRON_F,اسم إشارة مؤنث
Morph_Tag,DEM_PRON_FS,اسم إشارة مؤنث مفرد
Morph_Tag,DEM_PRON_MP,اسم إشارة مذكر جمع
Morph_Tag,DEM_PRON_MS,اسم إشارة مذكر مفرد
Morph_Tag,DET,أداة تعريف/تحديد
Morph_Tag,EMPHATIC_NUN,نون التوكيد
Morph_Tag,EXCEPT_NOUN,اسم استثناء
Morph_Tag,EXCEPT_PART,أداة استثناء
Morph_Tag,FOREIGN,لفظ أعجمي
Morph_Tag,FUTURE_PART,أداة استقبال
Morph_Tag,FUTUR_PART,أداة استقبال
Morph_Tag,FUT_PART,أداة استقبال
Morph_Tag,GERUND,مصدر
Morph_Tag,GERUND_INSTANT,مصدر مرة/لحظي
Morph_Tag,GERUND_MEEM,مصدر ميمي
Morph_Tag,GERUND_PROFESSION,مصدر صنعة/حرفة
